-229371e2:15d2fc9efdd:-7c5a,Subject Death Flag,,Subject Death Flag,BFO,UBERON_,17603,,grapefruit juice ,,,FOODON_00001001,orange juice,FOODON_03413944,porkfish
-229371e2:15d2fc9efdd:-7c7b,Comorbidity,,Comorbidity,BSPO,GENEPIO,823,,garlic bread spread mix ,,,FOODON_00001002,"product type, foodon@en",FOODON_03530283,white skin
-229371e2:15d2fc9efdd:-7c7c,Grant Agency,,Grant Agency,CARO,FOODON,14383,,sweet potato ,,,FOODON_00001002,tuberculosis treatment drug,FOODON_03530111,fast food restaurant prepared
-229371e2:15d2fc9efdd:-7c7d,Sample Provider PI's email,,Sample Provider PI's email,CHEBI,,,,beef bacon ,,,FOODON_00001002,"product type, foodon",FOODON_03412893,rockfish
-229371e2:15d2fc9efdd:-7c7e,Target Capture,,Target Capture,ENVO,,,,dough ,,,FOODON_00001003,second line or reserve tuberculosis drug,FOODON_03414411,calcium citrates
-229371e2:15d2fc9efdd:-7c7f,Capture,,Capture,ERO,,,,fat of meat from animals except poultry ,,,FOODON_00001003,fermented agave juice,FOODON_03411733,swamp cabbage plant
-229371e2:15d2fc9efdd:-7c81,Project Method,,Project Method,ExO,,,,fig ,,,FOODON_00001004,fermenting sugar cane juice,FOODON_03411814,chilean croaker
-229371e2:15d2fc9efdd:-7c82,Methodology,,Methodology,FLU,,,,gafftopsail catfish ,,,FOODON_00001005,fermenting Elaeis Palm sap,FOODON_03530279,pink skin
-229371e2:15d2fc9efdd:-7c83,Project Objectives,,Project Objectives,FOODON,,,,flour ,,,FOODON_00001006,meat food product,FOODON_03530142,entre-cote
-229371e2:15d2fc9efdd:-7c84,Objective,,Objective,GENEPIO,,,,citrus juice ,,,FOODON_00001007,sausage,FOODON_03411970,northern shrimp
-229371e2:15d2fc9efdd:-7c85,Sequencing Facility,,Sequencing Facility,GO,,,,tuna ,,,FOODON_00001008,liver paste,FOODON_03411305,coffee plant
-229371e2:15d2fc9efdd:-7c86,Sample Provider Principal Investigator PI Name,,Sample Provider Principal Investigator (PI) Name,IAO,,,,white bread ,,,FOODON_00001009,hot dog,FOODON_03412503,nutsedge plant
-229371e2:15d2fc9efdd:-7c89,Sample Scope,,Sample Scope,MI,,,,toffee ,,,FOODON_00001010,processed meat product,FOODON_03411801,amarillo snapper
-229371e2:15d2fc9efdd:-7c8a,Sample Scope,,Sample Scope,NCBITaxon,,,,great northern bean ,,,FOODON_00001011,milk formula,FOODON_03413153,mixed acetic and tartaric acid esters of  mono- and diglycerides of fatty acids
-229371e2:15d2fc9efdd:-7c8b,Target Material,,Target Material,OBI,,,,blood snapper ,,,FOODON_00001012,powdered milk formula,FOODON_03411887,needlefish family
-229371e2:15d2fc9efdd:-7c8c,Material,,Material,OGMS,,,,shellfish ,,,FOODON_00001013,cheese product,FOODON_03412308,snakehead
-229371e2:15d2fc9efdd:-7c8d,Sample Provider PI's Institution,,Sample Provider PI's Institution,OMRSE,,,,cream-filled pastry ,,,FOODON_00001014,yogurt,FOODON_03411134,animal (mammal)
-229371e2:15d2fc9efdd:-7c8e,Supporting Grants/Contract ID,,Supporting Grants/Contract ID,PATO,,,,brown rice cream ,,,FOODON_00001015,plant food product,FOODON_03412150,caribbean red snapper
-229371e2:15d2fc9efdd:-7c8f,Grant ID,,Grant ID,PCO,,,,vegetable in vinegar ,,,FOODON_00001016,cabbage product,FOODON_03411807,skilfish
-229371e2:15d2fc9efdd:-7c90,Study Identifier,,Study Identifier,PO,,,,jellying fruit extract ,,,FOODON_00001017,commercial yogurt,FOODON_03412126,coffee or tea plant
-229371e2:15d2fc9efdd:-7c91,Project ID,,Project ID,RO,,,,mushroom ,,,FOODON_00001018,cheese starter culture,FOODON_03413906,atractoscion
-229371e2:15d2fc9efdd:-7c93,Project Accession,,Project Accession,SYMP,,,,sweet clover ,,,FOODON_00001019,wort,FOODON_03412112,molluscs
-229371e2:15d2fc9efdd:-7c95,Project Title,,Project Title,TRANS,,,,breakfast cereal ,,,FOODON_00001020,beer wort,FOODON_03412848,eubacteriales used
-229371e2:15d2fc9efdd:-7c96,project name,,project name,UBERON,,,,peanut ,,,FOODON_00001021,acifified beer wort,FOODON_03413248,sodium carboxy methyl cellulose
-229371e2:15d2fc9efdd:-7c97,Title*,,Title*,UBPROP,,,,nut coating ,,,FOODON_00001022,Bleu  de Bresse,FOODON_03411904,smelt family
-229371e2:15d2fc9efdd:-7c99,Specimen Collection Location - Longitude,,Specimen Collection Location - Longitude,,,,,imitation ice milk ,,,FOODON_00001023,butter,FOODON_03413357,plant according to family
-229371e2:15d2fc9efdd:-7c9b,Specimen Collection Location - Latitude,,Specimen Collection Location - Latitude,,,,,strawberry jam ,,,FOODON_00001024,pickled cabbage,FOODON_03412375,gray seatrout
-229371e2:15d2fc9efdd:-7c9d,Specimen Collection Date,,Specimen Collection Date,,,,,beef soup stix ,,,FOODON_00001025,Camembert,FOODON_03413733,white-fringe gigantochloa plant
-229371e2:15d2fc9efdd:-7c9f,collection date,,collection date,,,,,shad ,,,FOODON_00001026,cane sugar,FOODON_03412040,juniper plant
