Code,Description
samp8,Animal-Swine-Market Swine
samp13,"sewage, sand island waste water"
samp14,Pecans
samp15,Ground Beef
samp19,Human; Homo sapiens
samp34,feces; Homo sapiens
samp36,Coyote
samp41,Poultry
samp44,Human Carrier
samp46,Pigeon
samp50,Tiliqua rugosa
samp55,Rattus fuscipes
samp56,Environment
samp59,Bird
samp63,Stool/Fecal; Homo sapiens
samp67,feces; Swine
samp70,product-eggs-raw-whole
samp73,frozen raw stuffed chicken product
samp74,frozen crab sections
samp75,clinical; Homo sapiens
samp112,Bovine Liver; Bos taurus
samp115,surface
samp116,coconut shredded
samp126,whole black pepper
samp130,Bovine Feces; Bos taurus
samp143,Turtle Tank
samp144,prepared cut cuttlefish
samp151,Environment(Wastewater)
samp155,feces; Sus scrofa
samp164,pig at slaughter; Sus domesticus
samp166,alfalfa sprouts
samp169,cerase tea
samp170,dried egg powder
samp171,frozen mullet
samp172,shrimp
samp173,raw bone
samp180,veggie booty with spinach and kale
samp181,five spice powder
samp190,Porcine Feces
samp200,frz yellow croaker
samp205,Bovine (feed)
samp209,oregano
samp218,equine (feces)
samp220,Bovine (necropsy)
samp227,Tortoise (feces)
samp231,Mule deer (feces)
samp232,Bovine (multiple tissues)
samp242,Canine (eye)
samp243,rubber gasket and metal strip
samp260,Thin sliced chicken breast
samp268,peanut butter
samp271,chicken breast rinse
samp273,equine liver; Horse
samp278,ground chicken
samp288,blend of spices
samp290,Water from an irrigation pond
samp296,jalapeno peppers
samp304,Sheep; Sheep
samp309,Porcine Lung
samp311,Animal-Cattle-Steer
samp313,gecko gecko
samp323,Walnuts
samp325,Pig marrow
samp331,Animal-Calf
samp342,NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Turkeys
samp347,grouper fillet
samp350,frz grated coconut
samp352,basil fines
samp357,sambar powder
samp363,spinach
samp383,animal feces
samp387,turkey
samp389,"animal feed, canola meal"
samp391,minced beef
samp394,brazil nuts
samp395,hulled sesame seed
samp396,scallops
samp397,blood; Homo sapiens
samp399,squid
samp404,Porcine (necropsy)
samp405,"sesame seeds, hulled"
samp406,bovine (necropsy-intestine)
samp408,"water, irrigation"
samp412,feline (feces)
samp416,chilli powder
samp420,"crab meat, frz, pasteurized, cooked"
samp422,"sesame seeds, natural"
samp426,tulsi (basil) powder
samp427,red chile powder
samp435,frozen seasoned dried file fish
samp437,Chicken breasts
samp439,"croaker, frz"
samp449,Cat; Cat
samp452,equine feces; Horse
samp461,xanthan gum
samp468,Skink in an irrigation pond
samp469,Factory swab
samp473,Water GA Pond- CC1
samp476,Chicken Wings
samp478,"pet treat, bully stick"
samp482,bovine (feed-hay)
samp485,"clams, whole, cooked"
samp497,Pogona; Bearded Dragon Feces
samp505,Tango
samp506,Urine
samp514,Mushroom
samp516,Boa Constrictor
samp519,"snail, boiled, frz"
samp528,toad
samp529,natural sesame seeds
samp535,"animal feed, cottonseed meal"
samp537,water sample from tomato farm
samp539,golden thread fish
samp549,Organic Mizuna
samp552,Fishmeal from Malawi lake; Free living
samp553,organic stevia leaf
samp556,frz mud fish
samp558,"clam meat; wild caught, cooked"
samp572,"cuttle fish, dried"
samp575,kashmiri chillie powder
samp576,frozen yellowfin tuna steak
samp577,unknown origin
samp580,Bovine (intestine)
samp581,Bovine (environmental)
samp582,bovine (feed-bloodmeal)
samp585,poultry meal
samp587,Caprine (feces)
samp616,fenugreek powder
samp630,frz pompret
samp645,peppers
samp654,Bos taurus; bovine jejunum
samp655,feces; Camel
samp656,Bos taurus; bovine intestine
samp662,Homo sapiens; blood-culture; Age: eight years; male; blood
samp663,not isolated
samp664,sepsis
samp671,Shake Mix/Powder
samp672,Ostrich
samp675,Harbour Porpoise
samp679,Baboon
samp683,chicken (parent flock); Gallus gallus
samp687,crab
samp702,lettuce
samp705,"pet treat, rawhides"
samp706,frozen raw whole sand goby
samp716,limpets
samp725,frozen cut crab
samp730,yellowfin tuna nakaochi scrape
samp731,chili peppers
samp734,frz raw escolar steak
samp739,frozen spiny eel
samp750,Clinical Isolate
samp751,"Bovine (necropsy-intestine lung,lymph node spleen)"
samp760,dried gecko
samp762,Pig Intestine
samp768,avian; Bird
samp769,cashew (kaju) mix
samp772,thai chili pepper
samp773,porcine liver; Pig
samp775,"duck egg yolks, cooked, frozen"
samp777,turkey; Meleagris gallopavo
samp781,"chick peas, ground"
samp789,Gallus gallus; liver
samp801,Beef for fajita
samp802,"animal feed, soybean hull"
samp805,Isolate(Rice Bran)
samp813,Compost
