Term,Expansion,,,acetic acid fermentation process,applied,abomasum,,,,,
,,,,,,,,,,,
added,[ADDING PROCESS],,,,,,,,,,
adding,[ADDING PROCESS],,,,,individually quick frozen,,,,,
applied,[APPLYING PROCESS],,,,,,,,,,
applying,[APPLYING PROCESS],,,,,,,,,,
aspirate,[ASPIRATION PROCESS],,,,,,,,,,
aspirating,[ASPIRATION PROCESS],,,,,,,,,,
assorted,[ASSORTING PROCESS],,,,,,,,,,
assorting,[ASSORTING PROCESS],,,,,,,,,,
bagged,[BAGGING PROCESS],,,,,,,,,,
bagging,[BAGGING PROCESS],,,,,,,,,,
baked,[BAKING PROCESS],,,,,,,,,,
baking,[BAKING PROCESS],,,,,,,,,,
basted,[BASTING PROCESS],,,,,,,,,,
basting,[BASTING PROCESS],,,,,,,,,,
blend,[BLENDING PROCESS],,,,,,,,,,
blending,[BLENDING PROCESS],,,,,,,,,,
brewed,[BREWING PROCESS],,,,,,,,,,
brewing,[BREWING PROCESS],,,,,,,,,,
canned,[CANNING PROCESS],,,,,,,,,,
canning,[CANNING PROCESS],,,,,,,,,,
cheeked,[CHEEKING PROCESS],,,,,,,,,,
cheeking,[CHEEKING PROCESS],,,,,,,,,,
chopped,[CHOPPING PROCESS],,,,,,,,,,
chopping,[CHOPPING PROCESS],,,,,,,,,,
clawed,[CLAWING PROCESS],,,,,,,,,,
clawing,[CLAWING PROCESS],,,,,,,,,,
clean,[CLEANING PROCESS],,,,,,,,,,
cleaned,[CLEANING PROCESS],,,,,,,,,,
cleaning,[CLEANING PROCESS],,,,,,,,,,
coated,[COATING PROCESS],,,,,,,,,,
coating,[COATING PROCESS],,,,,,,,,,
comminuted,[COMMINUTING PROCESS],,,,,,,,,,
comminuting,[COMMINUTING PROCESS],,,,,,,,,,
condensed,[CONDENSING PROCESS],,,,,,,,,,
condensing,[CONDENSING PROCESS],,,,,,,,,,
cracked,[CRACKING PROCESS],,,,,,,,,,
cracking,[CRACKING PROCESS],,,,,,,,,,
creamed,[CREAMING PROCESS],,,,,,,,,,
