Synonym1,Pivot Term,,annatto,,Ontology Missing Terms,,Combined word,separate words,,boar,Sus scrofa,,,Synonym1,Pivot Term
uncured,not preserved,,,,,,,,,,,,,,
gallstone,gall stone,,,,,,,,,,,,,,
BeefCarcTrim,Beef Carc Trim,,,,,,,,,,,,,,
seawater,sea water,,,,,,,,,,,,,,
Broccosprout,Brocco sprout,,,,,,,,,,,,,,
Freshwater,fresh water,,,,,,,,,,,,,,
Spongesicle,Sponge sicle,,,,,,,,,,,,,,
Sopressata,Soppressata,,,,,,,,,,,,,,
alame,salami,,,,,,,,,,,,,,
Celebes ape,Macaca nigra ,,,,,,,,,,,,,,
giraffe,Giraffa camelopardalis,,,,,,,,,,,,,,
citellus pygmaeus,Spermophilus pygmaeus,,,,,,,,,,,,,,
little ground squirrel,Spermophilus pygmaeus,,,,,,,,,,,,,,
little souslik,Spermophilus pygmaeus,,,,,,,,,,,,,,
Coprocultive,Coprocultivo,,,,,,,,,,,,,,
Coprocultivo,stool test,,,,,,,,,,,,,,
tomatillo,husk tomato,,,,,,,,,,,,,,
ampullariidae,apple snail,,,,,,,,,,,,,,
ready to eat,"food, ready to eat",,,,,,,,,,,,,,
not ready to eat,"food, not ready to eat",,,,,,,,,,,,,,
barbecue,barbeque,,,,,,,,,,,,,,
achiote,annatto,,,,,,,,,,,,,,
amber jack,amberjack,,,,,,,,,,,,,,
balsam pear,bitter melon,,,,,,,,,,,,,,
barbus altus,puntius bocourti,,,,,,,,,,,,,,
barbus altus,barbus foxi,,amberjack,,,,,,,,,,,shingleback lizard, tiliqua rugosa
batashi,pachypterus atherinoides,,puntius bocourti,,,,,,,,,,,010  brassica (cole),"010  brassica (cole or cabbage) vegetables, head cabbage, flowerhead brassicas (vb) (ccpr)"
bell bean,broadbean,,barbus foxi,,,,,,,,,,,"010  brassica (cabbage) vegetables, head cabbage, flowerhead brassicas (vb) (ccpr)","010  brassica (cole or cabbage) vegetables, head cabbage, flowerhead brassicas (vb) (ccpr)"
bisibelebath,bisi bele bath,,pachypterus atherinoides,,,,,,,,,,,010  brassica cole,"010  brassica (cole or cabbage) vegetables, head cabbage, flowerhead brassicas (vb) (ccpr)"
bitter gourd,bitter melon,,cerassee tea,,,,,,,,,,,"010  brassica cabbage vegetables, head cabbage, flowerhead brassicas vb ccpr","010  brassica (cole or cabbage) vegetables, head cabbage, flowerhead brassicas (vb) (ccpr)"
bitter melon tea,cerassee tea,,black pepper,,,,,,,,,,,0120000 - tree nuts (shelled),0120000 - tree nuts (shelled or unshelled) (ec)
bitter squash,bitter melon,,Sus scrofa,,chipolte,,,,,,,,,0120000 - tree nuts (unshelled) (ec),0120000 - tree nuts (shelled or unshelled) (ec)
bittermelon tea,cerassee tea,,chicken,,hazelnut,,blackpepper,black pepper,,,,,,0120000 - tree nuts shelled,0120000 - tree nuts (shelled or unshelled) (ec)
black caraway,black cumin,,chili pepper,,burger,,takoyaki,tako yaki,chillies,chilli,,,,0120000 - tree nuts unshelled ec,0120000 - tree nuts (shelled or unshelled) (ec)
blackpepper,black pepper,,pigeon,,canola,,,,,,,,,absent minded  ,absent-minded  
broad bean,broadbean,,domesticus,,capsicum,,,,chipolte,,,,,wattles,acacia genus
bush rat,rattus fuscipe,,feces,,burrito,,,,,,,,,acacias,acacia genus
centralian blue tongued skink,tiliqua multifasciata,,featherback,,isolate,,,,,,,,,acacia,acacia genus
cerase tea,cerassee tea,,ground ,,agushi,,,,,,,,,aliquote,aliquot
Cerassie tea,cerassee tea,,blood culture,,albus,,,,,chia,infl,,,aframomum melegueta ,alligator pepper
cerrasse tea,cerassee tea,,leaf,,aligator,,,,,,,,,ossame,alligator pepper
cheetal,deer,,vegetable,,aloe,,,,,,,,,grains of paradise,alligator pepper
chick,chicken,,snake,,alpaca,,,,,,,,,melegueta pepper,alligator pepper
chicken cordon bleu,chicken cordon blue,,bird,,aneurysm,,,,,,,,,guinea grains,alligator pepper
chicken tender,chicken finger,,swamp barb,,annato,,,,,,,,,fom wisa,alligator pepper
chickenkiev,chicken kiev,,chola barb,,abscess,,,,,,,,,guinea pepper,alligator pepper
chickenkiev,chicken kiev,,lizard,,acanthurus,,,,,,,,,pimento,allspice
chile arbol,chili pepper,,,,,,,,,,,,,pimiento,allspice
